type,sectionName,webPublicationDate,webTitle,webUrl,date
article,Life and style,2023-01-01T12:00:46Z,"Sport, TV, tech and fashion: what does 2023 have in store for us?",https://www.theguardian.com/lifeandstyle/2023/jan/01/sport-tv-tech-and-fashion-what-does-2023-have-in-store-for-us,2023-01-01
article,World news,2023-01-01T14:10:49Z,1m people gather on Champs-Élysées in Paris to see in new year,https://www.theguardian.com/world/2023/jan/01/1-million-people-gather-on-champs-elysees-in-paris-to-see-in-new-year,2023-01-01
article,World news,2023-01-02T14:00:17Z,‘Not all traditions are good’: lethal accidents deepen French hunting divide,https://www.theguardian.com/world/2023/jan/02/france-hunting-deaths-accidents,2023-01-02
liveblog,World news,2023-01-03T19:00:10Z,Zelenskiy warns of Russian drone campaign as Ukraine claims to have downed almost 500 since September – as it happened,https://www.theguardian.com/world/live/2023/jan/03/russia-ukraine-war-ukraine-says-enemy-equipment-destroyed-in-makiivka-attack-zelenskiy-warns-of-russian-campaign-of-drone-attacks-live,2023-01-03
article,World news,2023-01-04T16:18:01Z,Moscow blames its troops’ use of mobile phones for Makiivka missile strike,https://www.theguardian.com/world/2023/jan/04/moscow-blames-its-troops-use-of-mobile-phones-for-makiivka-missile-strike,2023-01-04
liveblog,World news,2023-01-04T18:59:09Z,Head of Ukraine military intelligence tells Kremlin to expect strikes ‘deeper and deeper’ into Russia – as it happened,https://www.theguardian.com/world/live/2023/jan/04/russia-ukraine-war-live-moscow-revises-makiivka-death-toll-to-89-zelenskiy-reiterates-warning-of-new-russian-offensive,2023-01-04
article,World news,2023-01-05T00:01:05Z,Number of populist world leaders at 20-year low,https://www.theguardian.com/world/2023/jan/05/number-of-populist-world-leaders-at-20-year-low,2023-01-05
article,World news,2023-01-05T19:59:16Z,Russia-Ukraine war at a glance: What we know on day 316 of the invasion,https://www.theguardian.com/world/2023/jan/05/russia-ukraine-war-at-a-glance-what-we-know-on-day-316-of-the-invasion,2023-01-05
article,World news,2023-01-05T20:48:12Z,US and Germany agree to send infantry fighting vehicles to Ukraine,https://www.theguardian.com/world/2023/jan/05/germany-tanks-ukraine-russia-war,2023-01-05
liveblog,World news,2023-01-05T21:07:57Z,"Russia-Ukraine war live: Putin’s ceasefire proposal shows he is ‘trying to find oxygen’, says Biden – as it happened",https://www.theguardian.com/world/live/2023/jan/05/russia-ukraine-war-live-no-rational-reason-west-hasnt-sent-tanks-says-zelenskiy-as-allies-offer-armoured-vehicles-instead,2023-01-05
